reference_number,reference_type,citation
1192,t,Brassaloti 2010
1193,a,Brassaloti et al. 2010
1194,a,Bruscagin et al. 2014
1195,t,Carmona 2007
1196,t,Carvalho 2013
1197,t,Chagas 2017
1198,a,Cicchi et al. 2009
1199,t,Cicchi 2011
1200,a,Condez et al. 2009
1201,t,Correa Filho 2013
1202,a,Costa et al. 2013
1203,t,Costa 2014
1204,t,Da Silva 2007
1205,a,Da Silva et al. 2009
1206,a,Da Silva et al. 2011
1207,a,Da Silva et al. 2012
1208,a,Da Silva et al. 2017a
1209,a,Da Silva et al. 2017b
1210,t,De Domenico 2008
1211,t,Dias 2008
1212,a,Dixo and Verdade 2006
1213,a,Dixo and Metzger 2010
1214,t,Esteves 2012
1215,a,Forlani et al. 2010
1216,a,Forti 2009
1217,t,Forti 2013
1218,b,Garcia et al. 2012
1219,a,Garey et al. 2014b
1220,a,Giaretta et al. 1997
1221,t,Giaretta 1999
1222,a,Giaretta et al. 1999
1223,t,Giasson 2008
1224,t,Gomes 2009
1225,a,Guerra-Fuentes et al. 2017
1226,a,Guix et al. 1994
1227,a,Guix et al. 2000
1228,b,Haddad and Sazima 1992
1229,a,Hartmann et al. 2010
1230,a,Heyer et al. 1990
1231,a,Jordani et al. 2017
1232,t,Juares 2011
1233,t,Leonal 1992
1234,t,Lopes 2010
1235,a,Luiz et al. 2016
1236,t,Macedo 2011
1237,a,Maffei et al. 2011
1238,b,Maffei and Ubaid 2014
1239,t,Maffei 2014
1240,a,Maffei et al. 2015
1241,t,Malagoli 2013
1242,b,Martins et al. 2012b
1243,t,Martins 2014
1244,a,Melo et al. 2007
1245,a,Mendes et al. 2013
1246,a,Moraes et al. 2007
1247,a,Narvaes et al. 2009
1248,t,Nomura 2008
1249,a,Oda et al. 2017
1250,t,Oliveira 2004
1251,t,Oliveira 2008
1252,t,Oliveira 2012
1253,t,Paula 2011
1254,t,Pinheiro 2009
1255,b,Pombal Jr. and Gordo 2004
1256,a,Pombal Jr. and Haddad 2005
1257,a,Prado et al. 2009a
1258,a,Prado et al. 2009b
1259,a,Ribeiro et al. 2005
1260,a,Ribeiro-Jnior and Bertoluci 2009
1261,t,Rolim 2009
1262,t,Rolim 2013
1263,a,Rossa-Feres and Jim 1996
1264,a,Rossa-Feres and Jim 2001
1265,b,Rossa-Feres et al. 2012
1266,a,Sabbag and Zina 2011
1267,a,Santos et al. 2007
1268,a,Santos et al. 2009
1269,a,Sasso et al. 2017
1270,t,Sawaya 1999
1271,t,Scarpellini Jr. 2007
1272,a,Schiesari and Corra 2016
1273,a,Serafim et al. 2008
1274,t,Silva 2007a
1275,t,Tacioli 2012
1276,t,Teixeira 2009
1277,a,Toledo et al. 2003
1278,t,Toledo 2013
1279,a,Trevine et al. 2014
1280,a,Vasconcelos and Rossa-Feres 2005
1281,b,Verdade et al. 2009
1282,a,Vilela et al. 2011
1283,b,Yamamoto and Bertoluci 2013
1284,a,Zaher et al. 2005
1285,a,Zina et al. 2007
1286,a,Zina et al. 2012
1287,a,Uetanabaro et al. 2007
1288,a,Affonso et al. 2014
1289,a,Armstrong and Conte 2010
1290,a,Batista and Bastos 2014
1291,t,Beltramin 2010
1292,a,Bernarde and Machado 2001
1293,t,Cardoso 2006
1294,t,Castanho 2000
1295,a,Conte and Machado 2005
1296,a,Conte and Rossa-Feres 2006
1297,a,Conte and Rossa-Feres 2007
1298,t,Conte 2010
1299,a,Crivellari et al. 2014
1300,a,Cunha et al. 2010
1301,t,Foerster 2014
1302,a,Garey and Hartmann 2012
1303,b,Hiert and Moura 2007
1304,t,Hiert 2014
1305,t,Leivas 2014
1306,a,Leivas et al. 2015
1307,a,Leivas and Hiert 2016
1308,t,Lima 2012
1309,a,Machado et al. 1999
1310,b,Machado and Bernarde 2003
1311,t,Machado 2004
1312,t,Nazaretti 2016
1313,a,Nazaretti and Conte 2015
1314,a,Oda et al. 2016
1315,t,Oliveira 2011
1316,t,Oliveira 2015
1317,t,Pinto 2015
1318,t,Santos 2013b
1319,a,Santos-Pereira et al. 2011
1320,a,Santos-Pereira et al. 2016
1321,a,Shibatta et al. 2009
1322,b,Yanzen and Costa 2014
1323,t,Bastiani 2012
1324,a,Both et al. 2014
1325,a,Ceron et al. 2016
1326,a,Ceron et al. 2017a
1327,a,Ceron et al. 2017b
1328,t,Colonetti 2005
1329,t,De Lucca 2009
1330,a,De Lucca et al. 2017
1331,t,Dias 2006
1332,t,Farias 2014
1333,a,Graipel et al. 1997
1334,b,Hartmann et al. 2008
1335,t,Lingnau 2009
1336,a,Lucas and Fortes 2008
1337,a,Lucas and Marocco 2011
1338,t,Mariotto 2014
1339,t,Mendonça 2008
1340,t,Peres 2010
1341,a,Preuss et al. 2016
1342,t,Rocha 2013
1343,t,Rosa 2017
1344,t,Tonetto 2008
1345,a,Wachlevski and Rocha 2010
1346,a,Wachlevski et al. 2014
1347,a,Assmann et al. 2013
1348,b,Borges-Martins et al. 2007
1349,a,Both et al. 2008
1350,a,Both et al. 2009
1351,a,Bueno et al. 2013
1352,a,Colombo et al. 2008
1353,t,Cunha 2013
1354,b,Deiques et al. 2007
1355,a,Entiauspe-Neto et al. 2016
1356,b,Fonte et al. 2013
1357,a,Gayer et al. 1988
1358,a,Iop et al. 2011
1359,b,Kwet et al. 2010
1360,a,Lipinski and Santos 2014
1361,a,Loebman and Figueiredo 2004
1362,a,Loebman and Vieira 2005
1363,t,Machado 2006
1364,t,Machado 2011
1365,a,Machado et al. 2012
1366,a,Machado and Maltchik 2010
1367,a,Madalozzo et al. 2017
1368,a,Maltchik et al. 2008
1369,a,Moreira et al. 2008
1370,a,Moreira and Maltchick 2012
1371,a,Moreira and Maltchick 2014
1372,a,Oliveira et al. 2013b
1373,a,Quintela et al. 2009
1374,a,Quintela et al. 2011
1375,a,Rodrigues et al. 2008
1376,a,Santos et al. 2008
1377,t,Silva 2007b
1378,a,Zanella et al. 2013
1379,b,Zank et al. 2013
1380,a,Cacciali et al. 2015
1381,a,Martnez et al. 2016
1382,a,Nez 2012
1383,a,Smith et al. 2016
1384,a,Wood et al. 2013
1385,t,Gangenova 2017
1386,a,Lescano et al. 2013
1387,a,Lpez and Kubisch 2008
1388,a,Lpez and Nazer 2009
1389,b,Lpez and Prado 2012
