Main_researcher,publised_year,Species
L.Bugoni 2002,2002,Geothlypis aequinoctialis
L.Bugoni 2002,2002,Geothlypis aequinoctialis
L.Bugoni 2002,2002,Geothlypis aequinoctialis
L.Bugoni 2002,2002,Geothlypis aequinoctialis
L.Bugoni 2002,2002,Thamnophilus torquatus
L.Bugoni 2002,2002,Thamnophilus torquatus
L.Bugoni 2002,2002,Thamnophilus torquatus
L.Bugoni 2002,2002,Thamnophilus torquatus
L.Bugoni 2002,2002,Hylocharis chrysura
L.Bugoni 2002,2002,Syndactyla rufosuperciliata
L.Bugoni 2002,2002,Syndactyla rufosuperciliata
L.Bugoni 2002,2002,Syndactyla rufosuperciliata
L.Bugoni 2002,2002,Synallaxis cinerascens
L.Bugoni 2002,2002,Synallaxis cinerascens
L.Bugoni 2002,2002,Synallaxis cinerascens
L.Bugoni 2002,2002,Synallaxis cinerascens
L.Bugoni 2002,2002,Synallaxis cinerascens
L.Bugoni 2002,2002,Synallaxis cinerascens
L.Bugoni 2002,2002,Synallaxis cinerascens
L.Bugoni 2002,2002,Synallaxis cinerascens
L.Bugoni 2002,2002,Synallaxis cinerascens
L.Bugoni 2002,2002,Synallaxis cinerascens
L.Bugoni 2002,2002,Celeus flavescens
L.Bugoni 2002,2002,Pipraeidea bonariensis
L.Bugoni 2002,2002,Pipraeidea bonariensis
L.Bugoni 2002,2002,Sicalis luteola
L.Bugoni 2002,2002,Sicalis luteola
L.Bugoni 2002,2002,Sicalis luteola
L.Bugoni 2002,2002,Sicalis luteola
L.Bugoni 2002,2002,Sicalis luteola
L.Bugoni 2002,2002,Sicalis luteola
L.Bugoni 2002,2002,Sicalis luteola
L.Bugoni 2002,2002,Sturnella superciliaris
L.Bugoni 2002,2002,Sturnella superciliaris
L.Bugoni 2002,2002,Sturnella superciliaris
L.Bugoni 2002,2002,Sturnella superciliaris
L.Bugoni 2002,2002,Sturnella superciliaris
L.Bugoni 2002,2002,Sturnella superciliaris
L.Bugoni 2002,2002,Sturnella superciliaris
L.Bugoni 2002,2002,Sturnella superciliaris
L.Bugoni 2002,2002,Sturnella superciliaris
L.Bugoni 2002,2002,Certhiaxis cinnamomeus
L.Bugoni 2002,2002,Certhiaxis cinnamomeus
L.Bugoni 2002,2002,Certhiaxis cinnamomeus
L.Bugoni 2002,2002,Certhiaxis cinnamomeus
L.Bugoni 2002,2002,Certhiaxis cinnamomeus
L.Bugoni 2002,2002,Certhiaxis cinnamomeus
L.Bugoni 2002,2002,Certhiaxis cinnamomeus
L.Bugoni 2002,2002,Certhiaxis cinnamomeus
L.Bugoni 2002,2002,Certhiaxis cinnamomeus
L.Bugoni 2002,2002,Progne tapera
L.Bugoni 2002,2002,Crotophaga ani
L.Bugoni 2002,2002,Machetornis rixosa
L.Bugoni 2002,2002,Schoeniophylax phryganophilus
L.Bugoni 2002,2002,Schoeniophylax phryganophilus
L.Bugoni 2002,2002,Xolmis irupero
L.Bugoni 2002,2002,Columbina picui
L.Bugoni 2002,2002,Columbina picui
L.Bugoni 2002,2002,Columbina picui
L.Bugoni 2002,2002,Columbina picui
L.Bugoni 2002,2002,Columbina picui
L.Bugoni 2002,2002,Columbina picui
L.Bugoni 2002,2002,Columbina picui
L.Bugoni 2002,2002,Anumbius annumbi
L.Bugoni 2002,2002,Chloroceryle americana
L.Bugoni 2002,2002,Sicalis flaveola
L.Bugoni 2002,2002,Euphonia chlorotica
L.Bugoni 2002,2002,Poospiza nigrorufa
L.Bugoni 2002,2002,Serpophaga subcristata
"Edison Barbieri, 2010",2010,Anous minutus
"Edison Barbieri, 2010",2010,Chroicocephalus cirrocephalus
Juan Mazar Barnett 2014,2014,Cichlocolaptes mazarbarnetti
Paula L. Canabarro 2010,2010,Haematopus palliatus
Paula L. Canabarro 2010,2010,Haematopus palliatus
L.Bugoni 2009,2009,Macronectes halli
L.Bugoni 2009,2009,Diomedea dabbenena
L.Bugoni 2009,2009,Diomedea dabbenena
L.Bugoni 2009,2009,Diomedea dabbenena
L.Bugoni 2009,2009,Diomedea dabbenena
L.Bugoni 2009,2009,Puffinus griseus
L.Bugoni 2009,2009,Puffinus griseus
L.Bugoni 2009,2009,Calonectris diomedea
Juan Mazar Barnett 2014,2014,Cichlocolaptes mazarbarnetti
Juan Mazar Barnett 2014,2014,Philydor novaesi
L.Bugoni 2009,2009,Calonectris diomedea
L.Bugoni 2009,2009,Fulmarus glacialoides
L.Bugoni 2009,2009,Fulmarus glacialoides
