REF_ID,PUB_TYPE,Referece
REF0167,Article,"Martins, W. P., de Oliveira Guimares, V., and Strier, K. B. 2007. A case of infant swapping by wild northern muriquis (Brachyteles hypoxanthus). Primates. 48: 324-326.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0168,Article,"Izar, P., Ramos-da-Silva, E. D., de-Resende, B. D., and Ottoni, E. B. 2007. A case of infanticide in tufted capuchin monkeys (Cebus nigritus). Mastozoologia Neotropical. 14: 73-76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0170,Article,"Vasconcelos, M. F., and Hirsch, A. 2000. A new locality for the masked titi monkey, Callicebus personatus nigrifrons, in a protected area in Minas Gerais, Brazil. Neotropical Primates. 8: 153-154.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0171,Article,"Kowalewski, M., Alvarez, C., Pereyra, D., Violi, E., and Zunino, G. 2002. A Preliminary study of positional behavior in Alouatta caraya in northern Argentina. American Journal of Physical Anthropology. 97-97.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0172,Article,"Vleeschouwer, K., Santos, J. S., Leus, K., and Elsacker, L. V. 2005. A sighting of muriquis (Brachytheles) in Una Biological Reserve, Bahia, Brazil. Neotropical primates. 12: 96-97.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0173,Article,"Norris, D., Ramrez, J. M., Zacchi, C., and Galetti, M. 2012. A survey of mid and large bodied mammals in Ncleo Caraguatatuba, Serra do Mar State Park, Brazil. Biota Neotropica. 12: 127-133.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0174,Article,"Hankerson, S., Pitts, M., Dietz, J., and Raboy, B. 2007. A test of exploitative and interference competition in wild golden-headed lion tamarins (Leontopithecus chrysomelas). American Journal of Primatology. 69: 57-57.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0175,Article,"Genty, E., and Cäsar, C. 2014. Abduction and potential case of predation of an infant howler monkey (Alouatta guariba clamitans) by a tufted capuchin monkey (Sapajus nigritus). Mammalia. 78: 401-404.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0176,Article,"Ruiz-Miranda, C. R., Archer, C. A., and Kleiman, D. G. 2002. Acoustic differences between spontaneous and induced long calls of golden lion tamarins, Leontopithecus rosalia. Folia primatologica. 73: 124-131.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0177,Article,"Sabatini, V., and Ruiz-Miranda, C. R. 2008. Acoustical aspects of the propagation of long calls of wild Leontopithecus rosalia. International Journal of Primatology. 29: 207-223.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0178,Article,"Ludwig, G., Aguiar, L. M., and Rocha, V. J. 2006. Acquisition behavior of Manihot esculenta Crantz (Euphorbiaceae), cassava, by Cebus nigritus (Goldfuss)(Primates, Cebidae) as a feeding adaptation on scarcity periods. Revista Brasileira de Zoologia. 23: 888-890.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0179,Article,"Talebi, M. G., and Lee, P. C. 2010. Activity patterns of Brachyteles arachnoides in the largest remaining fragment of Brazilian Atlantic Forest. International Journal of Primatology. 31: 571-583.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0180,Article,"De Moraes, B. L. C., Da Silva Souto, A., and Schiel, N. 2014. Adaptability in stone tool use by wild capuchin monkeys (Sapajus libidinosus). American journal of primatology. 76: 967-977.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0181,Article,"Cunha, A. A. 2004. Additional records of primates in the Serra dos rgos National Park. Neotropical Primates. 12: 30-31.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0182,Article,"Pav, R., Kowalewski, M. M., and Zunino, G. E. 2010. Adoption of an orphan infant in wild black and gold howler monkeys (Alouatta caraya). Mastozoologia Neotropical. 17: 171-174.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0183,Article,"da Oliveira Guimares, V., and Strier, K. B. 2001. Adult male-infant interactions in wild muriquis (Brachyteles arachnoides hypoxanthus). Primates. 42: 395-399.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0184,Article,"Martins, W. P., and Strier, K. B. 2004. Age at first reproduction in philopatric female muriquis (Brachyteles arachnoides hypoxanthus). Primates. 45: 63-67.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0185,Article,"da Cunha, R. G. T., and Byrne, R. W. 2013. Age-related differences in the use of the - moo - call in black howlers (Alouatta caraya). International Journal of Primatology. 34: 1105-1121.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0186,Article,"Correia, F. B., Baio, S. A., and Ferrari, S. F. 2014. Agonistic Competition for Fruit among Members of a Titi Monkey (Callicebus Coimbrai) Group During a Severe Drought. Neotropical Primates. 20: 57-58.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0187,Article,"Baldovino, M. C., and Di Bitetti, M. S. 2008. Allonursing in tufted capuchin monkeys (Cebus nigritus): milk or pacifier. Folia Primatologica. 79: 79-92.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0188,Article,"Bruno, G., Milozzi, C., and Mudry, M. D. 2012. Alouatta caraya: Nuevo Sitio De Estudio En Argentina. Neotropical Primates. 19: 44-45.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0189,Article,"Printes, R. C., Liesenfeld, M. V. A., and Jerusalinky, L. 2001. Alouatta guariba clamitans Cabrera, 1940: a new southern limit for the species and for neotropical primates. Neotropical Primates. 9: 118-121.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0190,Article,"Miranda, J. M., Bernardi, I. P., Moro-Rios, R. F., and Passos, F. C. 2006. Antipredator behavior of brown howlers attacked by black hawk-eagle in Southern Brazil. International Journal of Primatology. 27: 1097-1101.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0191,Article,"Agostini, I., Holzmann, I., and Di Bitetti, M. S. 2010. Are howler monkey species ecologically equivalent? Trophic niche overlap in syntopic Alouatta guariba clamitans and Alouatta caraya. American Journal of Primatology. 72: 173-186.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0192,Article,"de Cssia Quitete Portela, R., Bruna, E. M., and dos Santos, F. A. M. 2010. Are protected areas really protecting populations - A test with an Atlantic rain forest palm. Tropical Conservation Science. 3: 361-372.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0193,Article,"Mikich, S. B., and Liebsch, D. 2014. Assessment of food supplementation and surveillance as techniques to reduce damage caused by black capuchin monkeys Sapajus nigritus to forest plantations. Current Zoology. 60: 581-590.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0194,Article,"Hankerson, S. J., Dietz, J. M., and Raboy, B. E. 2006. Associations between golden-headed lion tamarins and the bird community in the Atlantic Forest of southern Bahia. International Journal of Primatology. 27: 487-495.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0195,Article,"Bogoni, J. A., and Hernndez, M. I. 2014. Attractiveness of native mammal feces of different trophic guilds to dung beetles (Coleoptera: Scarabaeinae). Journal of Insect Science. 14: 299.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0196,Article,"Fragaszy, D., Pickering, T., Liu, Q., Izar, P., Ottoni, E., and Visalberghi, E. 2010. Bearded capuchin monkeys and a human s efficiency at cracking palm nuts with stone tools: field experiments. Animal Behaviour. 79: 321-332.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0197,Article,"Ruiz-Miranda, C. R., Affonso, A. G., Morais, M. M. D., Verona, C. E., Martins, A., and Beck, B. B. 2006. Behavioral and ecological interactions between reintroduced golden lion tamarins (Leontopithecus rosalia Linnaeus, 1766) and introduced marmosets (Callithrix spp, Linnaeus, 1758) in Brazil s Atlantic Coast forest fragments. Brazilian Archives of Biology and technology. 49: 99-109.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0198,Article,"Sabbatini, G., Stammati, M., Tavares, M. C. H., and Visalberghi, E. 2008. Behavioral flexibility of a group of bearded capuchin monkeys (Cebus libidinosus) in the National Park of Braslia (Brazil): consequences of cohabitation with visitors. Brazilian Journal of Biology. 68: 685-693.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0199,Article,"Gestich, C. C., Caselli, C. B., and Setz, E. Z. 2014. Behavioural thermoregulation in a small neotropical primate. Ethology. 120: 331-339.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0200,Article,"Scarry, C. J. 2013. Between-group contest competition among tufted capuchin monkeys, Sapajus nigritus, and the role of male resource defence. Animal Behaviour. 85: 931-939.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0201,Article,"Scarry, C. J. 2013. Between-group contest competition among tufted capuchin monkeys, Sapajus nigritus, and the role of male resource defence. Animal Behaviour. 85: 931-939.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0202,Article,"Corra, H. K. M., Coutinho, P. E., and Ferrari, S. F. 2000. Between-year differences in the feeding ecology of highland marmosets (Callithrix aurita and Callithrix flaviceps) in south-eastern Brazil. Journal of Zoology. 252: 421-427.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0203,Article,"Vinhas, L., and Souza-Alves, J. P. 2014. Predation of Birds by an Endangered Primate Species, Callicebus coimbrai, in the Brazilian Atlantic Forest. Neotropical Primates. 21: 196-199.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0204,Article,"Peker, S., Kowalewski, M. M., Pavé, R. E., and Zunino, G. E. 2009. Births in wild black and gold howler monkeys (Alouatta caraya) in northern Argentina. American Journal of Primatology. 71: 261-265.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
REF0205,Article,"de Melo Jnior, T. A., and Fernando, J. Z. 2007. Black-tufted-ear Marmoset Callithrix penicillata (Primates: Callitrichidae) Following the Army Ant Labidus praedator (Formicidae: Ecitoninae) in the Cerrado and the Atlantic Forest, Brazil. Neotropical primates. 14: 32-33.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
