publised_year,total_s,total_p
1993,32,2
1995,8,1
1996,10,1
1997,1,1
1998,13,1
2000,13,1
2001,17,2
2002,20,1
2003,44,7
2004,22,4
2005,31,3
2006,27,31
2007,43,5
2008,19,1
2009,39,9
2010,37,3
2011,14,3
2012,22,5
2013,30,5
2014,27,4
2015,42,9
2016,33,16
2017,20,1
