publised_year,total_s,total_p
1945,7,1
1990,12,1
1991,4,1
1994,23,1
1995,12,1
1997,6,1
1998,3,1
1999,14,3
2000,33,3
2001,4,1
2002,26,4
2003,23,3
2004,43,6
2005,17,2
2006,34,5
2007,20,6
2008,29,8
2009,42,9
2010,28,5
2011,19,4
2012,29,5
2013,38,10
2014,41,9
2015,23,4
