publised_year,total_s,total_p
1949,72,2
1968,72,1
1969,82,1
1986,28,1
1994,76,1
1997,90,1
2003,108,1
2004,122,2
2007,38,1
2008,111,2
2009,109,1
2010,143,2
2011,193,15
2012,111,4
2014,129,4
2015,107,2
2016,162,4
2017,143,2
