publised_year,total_s,total_p
1991,24,1
1993,4,1
1996,27,1
1997,2,1
1999,35,1
2000,41,4
2001,36,4
2003,26,1
2004,31,1
2005,33,3
2006,16,1
2007,42,5
2008,53,7
2009,31,3
2010,39,3
2011,52,5
2012,61,12
2013,68,10
2014,57,8
2015,61,9
2016,52,5
2017,35,3
2018,54,5
