publised_year,total_s,total_p
1985,2,3
1993,5,7
1994,1,10
1996,3,4
1998,4,6
1999,4,4
2000,6,29
2001,2,18
2004,3,22
2005,5,33
2006,3,21
2007,1,30
2008,9,28
2009,3,29
2010,2,35
2011,4,33
2012,5,29
2013,2,27
2014,2,45
2015,7,29
2016,5,18
2017,7,10
