publised_year,total_s,total_p
1988,12,1
1990,13,1
1994,28,2
1996,12,1
1997,30,2
1999,51,3
2000,30,2
2001,19,5
2002,36,2
2003,15,2
2004,1,1
2005,97,10
2006,64,8
2007,92,16
2008,98,15
2009,118,18
2010,143,20
2011,154,19
2012,134,13
2013,150,20
2014,126,22
2015,81,10
2016,120,18
2017,139,20
